sample_id,tcga,tissue,tissue_subtype,ic50,auc
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.0431,0.432
SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.0465,0.448
RD,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.0474,0.454
SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.0534,0.472
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.0546,0.478
RH-41,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.0567,0.479
A673,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.0635,0.499
VA-ES-BJ,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.067,0.507
KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.0695,0.514
SW872,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.0741,0.524
Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.0782,0.535
HT-1080,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.0802,0.538
SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.0819,0.541
GCT,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.221,0.698
TE-441-T,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.263,0.721
SW684,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.982,0.817
TT2609-C02,THCA,thyroid,thyroid,0.012,0.256
CGTH-W-1,THCA,thyroid,thyroid,0.0151,0.279
8505C,THCA,thyroid,thyroid,0.0189,0.317
ML-1,THCA,thyroid,thyroid,0.0228,0.35
KMH-2,THCA,thyroid,thyroid,0.0254,0.347
8305C,THCA,thyroid,thyroid,0.0256,0.374
BCPAP,THCA,thyroid,thyroid,0.0314,0.383
IHH-4,THCA,thyroid,thyroid,0.0411,0.423
K5,THCA,thyroid,thyroid,0.0451,0.443
CAL-62,THCA,thyroid,thyroid,0.0468,0.449
BHT-101,THCA,thyroid,thyroid,0.0484,0.456
HTC-C3,THCA,thyroid,thyroid,0.0601,0.49
FTC-133,THCA,thyroid,thyroid,0.0856,0.544
ASH-3,THCA,thyroid,thyroid,0.105,0.578
RO82-W-1,THCA,thyroid,thyroid,0.135,0.605
S-117,UNCLASSIFIED,thyroid,thyroid,0.152,0.618
TT,THCA,thyroid,thyroid,0.189,0.643
RT-112,BLCA,urogenital_system,bladder,0.00995,0.232
SW1710,BLCA,urogenital_system,bladder,0.0108,0.238
OVCAR-5,OV,urogenital_system,ovary,0.0123,0.271
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.0152,0.282
EFO-27,UNCLASSIFIED,urogenital_system,ovary,0.0157,0.306
NEC8,UNCLASSIFIED,urogenital_system,testis,0.0172,0.281
OVCAR-8,OV,urogenital_system,ovary,0.0178,0.292
CAL-39,CESC,urogenital_system,cervix,0.0182,0.309
22RV1,PRAD,urogenital_system,prostate,0.0184,0.326
PA-1,UNCLASSIFIED,urogenital_system,ovary,0.0192,0.291
NTERA-S-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.0199,0.318
DoTc2-4510,CESC,urogenital_system,cervix,0.0201,0.316
SCaBER,UNCLASSIFIED,urogenital_system,bladder,0.0207,0.336
BPH-1,UNCLASSIFIED,urogenital_system,prostate,0.0233,0.349
ESS-1,UNCLASSIFIED,urogenital_system,endometrium,0.0247,0.344
SK-OV-3,OV,urogenital_system,ovary,0.0248,0.367
Tera-1,UNCLASSIFIED,urogenital_system,testis,0.0268,0.369
TOV-112D,OV,urogenital_system,ovary,0.0268,0.364
5637,BLCA,urogenital_system,bladder,0.0272,0.359
VCaP,PRAD,urogenital_system,prostate,0.0277,0.371
JEG-3,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.0288,0.369
FU-OV-1,OV,urogenital_system,ovary,0.0309,0.399
SNG-M,UCEC,urogenital_system,endometrium,0.0321,0.39
HT-1197,BLCA,urogenital_system,bladder,0.0322,0.4
AN3-CA,UCEC,urogenital_system,endometrium,0.0328,0.399
OVCAR-3,OV,urogenital_system,ovary,0.0344,0.407
BFTC-905,BLCA,urogenital_system,bladder,0.0347,0.396
DU-145,PRAD,urogenital_system,prostate,0.0361,0.414
OAW-42,OV,urogenital_system,ovary,0.0363,0.414
C-33-A,CESC,urogenital_system,cervix,0.0368,0.412
SW626,OV,urogenital_system,ovary,0.0383,0.425
DSH1,BLCA,urogenital_system,bladder,0.0387,0.418
639-V,BLCA,urogenital_system,bladder,0.0401,0.42
KURAMOCHI,UNCLASSIFIED,urogenital_system,ovary,0.0415,0.436
OVCAR-4,OV,urogenital_system,ovary,0.0425,0.446
KGN,UNCLASSIFIED,urogenital_system,ovary,0.0428,0.442
OVTOKO,OV,urogenital_system,ovary,0.0432,0.444
SW962,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.0441,0.447
OVMIU,OV,urogenital_system,ovary,0.0448,0.449
HEC-1,UCEC,urogenital_system,endometrium,0.0468,0.45
MFE-296,UCEC,urogenital_system,endometrium,0.0473,0.454
Ca-Ski,CESC,urogenital_system,cervix,0.0477,0.455
COLO-684,UCEC,urogenital_system,endometrium,0.0486,0.458
OV-90,OV,urogenital_system,ovary,0.0508,0.467
LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,0.052,0.469
SKG-IIIa,CESC,urogenital_system,cervix,0.0532,0.475
HT-1376,BLCA,urogenital_system,bladder,0.0535,0.474
OMC-1,CESC,urogenital_system,cervix,0.0557,0.478
MFE-319,UCEC,urogenital_system,endometrium,0.0571,0.482
TCCSUP,BLCA,urogenital_system,bladder,0.058,0.485
647-V,BLCA,urogenital_system,bladder,0.0636,0.499
CAL-29,BLCA,urogenital_system,bladder,0.0642,0.5
A2780,UNCLASSIFIED,urogenital_system,ovary,0.0642,0.501
KLE,UCEC,urogenital_system,endometrium,0.0674,0.507
KU-19-19,BLCA,urogenital_system,bladder,0.0699,0.514
SISO,CESC,urogenital_system,cervix,0.0713,0.518
EFO-21,OV,urogenital_system,ovary,0.0736,0.519
OAW-28,OV,urogenital_system,ovary,0.0779,0.528
PC-3,PRAD,urogenital_system,prostate,0.0784,0.529
EFE-184,UNCLASSIFIED,urogenital_system,endometrium,0.0785,0.524
OVISE,OV,urogenital_system,ovary,0.0813,0.533
C-4-I,CESC,urogenital_system,cervix,0.0823,0.538
J82,BLCA,urogenital_system,bladder,0.0906,0.555
ME-180,CESC,urogenital_system,cervix,0.0929,0.558
MES-SA,UNCLASSIFIED,urogenital_system,uterus,0.0946,0.567
MS751,CESC,urogenital_system,cervix,0.0956,0.566
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.0999,0.571
RKN,UNCLASSIFIED,urogenital_system,ovary,0.101,0.57
VM-CUB-1,BLCA,urogenital_system,bladder,0.108,0.585
LB831-BLC,BLCA,urogenital_system,bladder,0.109,0.584
MFE-280,UCEC,urogenital_system,endometrium,0.113,0.58
HeLa,CESC,urogenital_system,cervix,0.113,0.592
MCAS,UNCLASSIFIED,urogenital_system,ovary,0.13,0.609
Caov-4,OV,urogenital_system,ovary,0.135,0.598
SKN,UNCLASSIFIED,urogenital_system,uterus,0.136,0.609
UM-UC-3,BLCA,urogenital_system,bladder,0.138,0.625
HT-3,CESC,urogenital_system,cervix,0.141,0.623
TYK-nu,UNCLASSIFIED,urogenital_system,ovary,0.141,0.621
BOKU,UNCLASSIFIED,urogenital_system,cervix,0.149,0.622
RT4,BLCA,urogenital_system,bladder,0.167,0.646
RMG-I,UNCLASSIFIED,urogenital_system,ovary,0.173,0.644
ES-2,UNCLASSIFIED,urogenital_system,ovary,0.18,0.672
Ishikawa(Heraklio)02ER-,UNCLASSIFIED,urogenital_system,uterus,0.19,0.672
T-24,BLCA,urogenital_system,bladder,0.224,0.698
EN,UCEC,urogenital_system,endometrium,0.264,0.694
SW756,CESC,urogenital_system,cervix,0.27,0.703
OVKATE,OV,urogenital_system,ovary,0.469,0.73
SW780,BLCA,urogenital_system,bladder,0.681,0.823
TOV-21G,OV,urogenital_system,ovary,0.741,0.831
Caov-3,OV,urogenital_system,ovary,1.04,0.9
SiHa,CESC,urogenital_system,cervix,2.88,0.927
